time,rank,song_id,title,singers,album,date,genre,creator,lyric
2013.05.13~05.19,1,4099280,이름이 뭐예요?,4minute,Name Is 4minute,2013.04.26,Dance,용감한형제,4minute What's your name  What's What's your name 4minute What's your name  What's What's your name 랄랄랄랄랄라 이름이 뭐예요  뭐 뭐예요 랄랄랄랄랄라 What's your  name What's What's your name 랄랄랄랄랄라 뭐예요 뭐예요  이름이 뭐예요 랄랄랄랄랄라 What's What's  What's What's What's What's  your name 지루하기만 하던 내  하루하루에 딱 꽂혀버리고 만 거야  Oh Oh 난 너에게 소리로 들리나요 진심이란  말이예요 날 보는 그 눈빛이 싫어요  방긋 웃어줘요 빙빙 말 돌리지 말고 빙빙  맴 돌지만 말고 징징 좀 거리지 말고 내 말  좀 들어봐요 What's your name What's  What's your name You know my name You  know my name What's your name What's  What's your name You know my name You  know my name 문이 열리고 멋진 그대가  들어오네요 이름이 뭐예요 몇 살이예요 사는 곳은 어디예요 술 한 잔 하면서 얘기해 봐요 이름이 뭐예요 몇 살이예요 나 쉬운 여자 아니예요 이름이 뭐예요 What's your name 전화번호 뭐예요 이름이 뭐예요 What do you like 시간 좀 내줘요 이름이 뭐예요 What's your name 전화번호 뭐예요 이름이 뭐예요 What do you like 뭐예요 뭐예요 나랑 놀아요 Hey stop 뭐가 그리도 급해 넌 Oooh stop 나를 두고  가지 마 Boy Slow down 네가 원하는 대로  그러니 넌 참지 마 오늘 이 밤은 나와 같이  Oh Oh Oh Oh 빙빙 말 돌리지 말고 빙빙  맴 돌지만 말고 징징 좀 거리지 말고 내 말  좀 들어봐요 What's your name What's  What's your name You know my name You  know my name What's your name What's  What's your name You know my name You  know my name 문이 열리고 멋진 그대가  들어오네요 이름이 뭐예요 몇 살이예요 사는 곳은 어디예요 술 한 잔 하면서 얘기해 봐요 이름이 뭐예요 몇 살이예요 나 쉬운 여자 아니예요 이름이 뭐예요 What's your name 전화번호 뭐예요 이름이 뭐예요 What do you like 시간 좀 내줘요 이름이 뭐예요 What's your name 전화번호 뭐예요 이름이 뭐예요 What do you like 뭐예요 뭐예요 나랑 놀아요 랄랄랄랄랄라 이름이 뭐예요  뭐 뭐예요 랄랄랄랄랄라 What's your  name What's What's your name 랄랄랄랄랄라 뭐예요 뭐예요  이름이 뭐예요 랄랄랄랄랄라 What's What's  What's What's What's What's  your name
2013.05.13~05.19,2,4091105,봄봄봄,로이킴,봄봄봄,2013.04.22,Folk,로이킴,봄 봄 봄 봄이 왔네요 우리가 처음 만났던  그때의 향기 그대로 그대가 앉아 있었던 그 벤치 옆에  나무도 아직도 남아있네요 살아가다 보면  잊혀질 거라 했지만 그 말을 하며 안 될 거란 걸  알고 있었소 그대여 너를 처음 본 순간  나는 바로 알았지 그대여 나와 함께 해주오  이 봄이 가기 전에 다시 봄 봄 봄 봄이 왔네요 그대 없었던 내 가슴 시렸던  겨울을 지나 또 벚꽃 잎이 피어나듯이  다시 이 벤치에 앉아  추억을 그려 보네요 사랑하다 보면  무뎌질 때도 있지만 그 시간 마저 사랑이란 걸  이제 알았소 그대여 너를 처음 본 순간  나는 바로 알았지 그대여 나와 함께 해주오  이 봄이 가기 전에 우리 그만 참아요 이제 더 이상은  망설이지 마요 아팠던 날들은 이제 뒤로 하고  말할 거에요 그대여 너를 처음 본 순간  나는 바로 알았지 그대여 나와 함께 해 주오  이 봄이 가기 전에
2013.05.13~05.19,3,4095862,미스코리아,이효리,MONOCHROME,2013.05.21,Dance,이효리,유리거울 속 저 예쁜 아가씨  무슨 일 있나요 지쳐 보여요  많은 이름에 힘이 드나요  불안한 미래에 자신 없나요  자고 나면 사라지는 그깟   봄 신기루에  매달려 더 이상 울고 싶진 않아  Because I'm a Miss Korea   세상에서 제일가는 Girl이야  누구나 한 번에 반할 일이야  Because I'm a Miss Korea   Because I'm a Miss Korea   세상에서 제일 멋진 Girl이야  누구나 알면은 놀랄 일이야  Because I'm a Miss Korea   명품 가방이 날 빛내주나요  예뻐지면 그만 뭐든 할까요  자고 나면 사라지는 그깟   봄 신기루에  매달려 더 이상 울고 싶진 않아  Because I'm a Miss Korea   세상에서 제일가는 Girl이야  누구나 한 번에 반할 일이야  Because I'm a Miss Korea   Because I'm a Miss Korea   세상에서 제일 멋진 Girl이야  누구나 알면은 놀랄 일이야  Because I'm a Miss Korea   Because I'm a Miss Korea   세상에서 제일가는 Girl이야  누구나 한 번에 반할 일이야  Because I'm a Miss Korea   Because I'm a Miss Korea   세상에서 제일 멋진 Girl이야  누구나 알면은 놀랄 일이야  Because I'm a Miss Korea   사람들의 시선 그리 중요한가요 망쳐가는 것들 내 잘못 같나요 그렇지 않아요 이리 와 봐요  다 괜찮아요  넌 Miss Korea
2013.05.13~05.19,4,4108714,청혼하는 거예요,포맨,The 5th Album Vol.2 `Thank You`,2013.05.08,Ballad,미(MIIII),오늘을 위해서 나 한참을  기다렸죠  그대 내꺼 되길 또 소망하고  바랬죠 정식으로 프러포즈를 할까  아님 생일날 깜짝 파티를 할까 나 두근두근 설레던 그날이  오늘이죠  그대는 나의 lovely girl  그대는 나의 pretty girl 그대는 나의 영원한 나만의  천사 나를 받아줄래요 그대는 나의 lovely girl  그대는 나의 pretty girl 내 눈을 봐요 대답할 수  있나요 그대 나 청혼하는  거예요  예쁜 카페를 빌려볼까 아님  시청 앞 많은 사람들 앞에서  꽃을 줄까 반지를 내밀까  고민하던 나였죠 그대는 나의 lovely girl  그대는 나의 pretty girl 그대는 나의 영원한  나만의 천사 나를 받아줄래요 그대는 나의 lovely girl 그대는  나의 pretty girl 내 눈을 봐요 대답할 수 있나요  그대 나 청혼하는 거예요 살다 지쳐 힘들어도 또 내가  지긋지긋해 진다고해도  그대가 안아줘요 미안하고 또 고마워요 그대  내 옆에서 이렇게 손잡아줘서  날 위로 해줘서 그대는 나의 lovely girl  그대는 나의 pretty girl 그대는 나의 영원한  나만의 천사 나를 받아줄래요 그대는 나의 lovely girl 그대는  나의 pretty girl 내 눈을 봐요 대답할 수 있나요  그대 나를 받아줄래요 그대는 나의 lovely girl 그대는  나의 pretty girl 그대는 나의 영원한 나만의  천사 나를 받아줄래요 그대는 나의 lovely girl 그대는  나의 pretty girl 내 눈을 봐요 대답할 수 있나요  그대 나 청혼하는 거예요  나 청혼하는 거예요
2013.05.13~05.19,5,4100925,꼭 한번 만나고 싶다,바이브,Organic Sound,2013.05.15,Ballad,"류재현,박경진",꼭 한번 만나고 싶다 그토록  사랑했던 그녀를 꼭 한번 만나고 싶다 다시 또  상처받아도 아파도 만나고 싶다 예쁘게  취한 눈의 그녀를 아파도 만나고 싶다 내 품에  안겨 쉬던 그녀를 미치게 만나고 싶다 차갑게  나를 모른 척 인사도 없이 떠났던 그녀를  만나고 싶다 꼭 한번 만나고 싶다 그토록  사랑했던 나의 그녀를 꼭 한번 만나고 싶다 이토록  날 아프게 만든 그녀를 꼭 한번 만나고 싶다 죽도록  지우려고 애쓴 그녀를 너무 그리운 사람아 꼭 한번  만나고 싶다 미치게 만나고 싶다 망가진  모습이라도 늙어진 모습이라도 그녀를 만나고 싶다 꼭 한번 만나고 싶다 그토록  사랑했던 나의 그녀를 꼭 한번 만나고 싶다 이토록  날 아프게 만든 그녀를 꼭 한번 만나고 싶다 죽도록  지우려고 애쓴 그녀를 너무 그리운 사람아 이젠  잊혀 질 사람아  꼭 한번 만나고 싶다
2013.05.13~05.19,6,4085875,GENTLEMAN,싸이(PSY),GENTLEMAN,2013.04.12,Dance,싸이(PSY),알랑가몰라 왜 화끈해야  하는건지 알랑가몰라 왜 말끔해야  하는건지 알랑가몰라 아리까리하면  까리해 알랑가몰라 We Like We We  We Like Party 해  있잖아 말이야  이사람으로 말씀드리자면  말이야 용기 패기 똘끼 멋쟁이 말이야 너가 듣고픈말 하고픈게  난데 말이야 Damn Girl You so freakin sexy Ah Ah Ah Ah I’m a Ah Ah Ah Ah I’m a Ah Ah Ah Ah I’m a mother  father gentleman I’m a Ah I’m a I’m a mother father gentleman I’m a Ah I’m a I’m a mother father gentleman 알랑가몰라 왜 미끈해야 하는건지 알랑가몰라 왜 쌔끈해야 하는건지 알랑가몰라 달링 빨리와서  난리해 알랑가몰라 난리난리 났어  빨리해 있잖아 말이야  너의 머리 허리 다리 종아리  말이야  Good feeling feeling Good  부드럽게 말이야 아주 그냥 헉소리나게 악소리  나게 말이야 Damn Girl I’m a party mafia Ah Ah Ah Ah I’m a Ah Ah Ah Ah I’m a Ah Ah Ah Ah I’m a mother father  gentleman I’m a Ah I’m a I’m a mother father gentleman I’m a Ah I’m a I’m a mother father gentleman Gonna make you sweat Gonna make you wet You know who I am Wet PSY Gonna make you sweat Gonna make you wet You know who I am Wet PSY  Wet PSY Wet PSY Wet PSY  PSY PSY PSY  Ah I’m a mother father gentleman I’m a Ah I’m a I’m a mother father gentleman I’m a Ah I’m a I’m a mother father gentleman Mother father gentleman Mother father gentleman
2013.05.13~05.19,7,4101639,YooHoo (유후),시크릿,Letter From Secret,2013.04.30,Dance,"강지원,김기범",친구로만 보이던 니가  귀엽게만 보이던 니가  Don't know why  I don't know why  너에게 끌려 가고 있어  힘든 날 위로해줬을 때  내 얘기를 들어줬을 때  Maybe you  I'm loving you  조금씩 내 마음이 움직여  어떻게 어떻게  어떻게 말을 할까  Do you hear me  that I'm fallin' in love  머리엔 온통 너뿐이야  자꾸만 보고 싶어  너를 사랑하나 봐 YOO HOO  너만 보여 YOO HOO  친구가 아닌 애인으로  너랑 만나고 싶어  나를 좀 바라봐줘 YOO HOO  못 참겠어 YOO HOO  어제보다 오늘보다  내일 더 사랑할게  OH MY LOVE   Yeah Yeah Yeah Yeah  Yeah Yeah Yeah Yeah  I just wanna be your love  너에게 난 잘 보이려고  옷도 사고 다이어트를 하고  Yes I do Oh yes I do   이런 내 맘 알아줄까  혹시 너를 놓쳐버릴까  나를 싫어하진 않을까  Maybe you  I'm loving you   생각이 많아서 잠 못 자  어떻게 어떻게 어떻게 말을 할까 Do you hear me that I'm fallin' in love 머리엔 온통 너뿐이야 자꾸만 보고 싶어 너를 사랑하나 봐 YOO HOO 너만 보여 YOO HOO 친구가 아닌 애인으로 너랑 만나고 싶어 나를 좀 바라봐줘 YOO HOO 못 참겠어 YOO HOO 어제보다 오늘보다 내일 더 사랑할게 OH MY LOVE 니 손을 잡고 우우 우우 이 길을 너와 함께 걷고 싶어 너뿐이야 정말이야 이제는 말하고 싶어 진심이야 정말이야 내 맘을 알아 줄래 항상 너를 지켜주고 싶어 니 곁에서 난 너를 사랑하나 봐 YOO HOO 너만 보여 YOO HOO 친구가 아닌 애인으로 너랑 만나고 싶어 나를 좀 바라봐줘 YOO HOO 못 참겠어 YOO HOO 어제보다 오늘보다 내일 더 사랑할게 OH MY LOVE Yeah Yeah Yeah Yeah Yeah Yeah Yeah Yeah
2013.05.13~05.19,8,4100521,Wash Away (Feat. 에일리),긱스(Geeks),Backpack,2013.04.29,Rap / Hip-hop,"루이(긱스),릴보이(긱스)",내 마음을 적시는 듯이  떨어지는 빗소리마저 건조해 네가 했던 말이  거짓말이었더라도 여전히 난 널 원해 이런 내 마음을 모를 걸 넌 기억을 씻어 내 나는 오늘도 조금 흐림 그리고 비 우리 둘이 처음 만난 날 같이 약간은 변덕스럽지만 전혀 거슬릴 것 없었던 소나기 삐끗거리며 맞추어 가던 이 추억의 조각은 미완성 넌 떠났고 난 홀로 남아 고집부리다가  그걸 더 망쳐놨어 이젠 씻어내야 되는 거지 살짝 귀찮더라도 건조한 마음은 수분 없어 욕조에 담가 놓아도 뜨거울 정도로  내 마음을 데우던  넌 없는 거잖아 한기 가득한 내 마음을  채우던 물도 끈 거잖아 넌 아마 Wash away 너의 입술도 너의 이름도 끝내 지우고 Wash away 너의 입술도 너의 이름도 씻을게 I‘m gonna wash away 오늘 날씬 맑음  그리고 구름은 가끔 끼어 사소한 기후 변화에도  장마 내리는 것처럼 다투던 그때에 비하면 많이  나아진 듯 보이지만 슬픔을 담은 하늘빛이 노래져 심장 박동 같던 노래도  이젠 새삼 나를 놀래켜 돌아가고 싶진 않아 never 날 내버려 두길 바랬던 이 전쟁마저 이젠  끝내고 싶어  forever 넌 soap opera 뗄 수 없을 만큼 익숙했기에 쉽지 않았어  미지근한 일상으로  널 씻어내는 게  hey Wash away 너의 입술도 너의 이름도 끝내 지우고 Wash away 너의 입술도 너의 이름도 씻을게 I‘m gonna wash away 아무 생각 없이 틀어놓은  따뜻한 물이 가득 찼네  욕조에  이렇게 덤벙거리기도 가끔 깜빡하는 것도 여전해 이런 내 마음을 모를 걸 넌 기억을 씻어 내 나는 오늘도 Wash away 너의 입술도 너의 이름도 끝내 지우고 Wash away 너의 입술도 너의 이름도 씻을게 너의 이름도
2013.05.13~05.19,9,4089360,Bounce,조용필,Bounce,2013.04.16,Rock,최우미,그대가 돌아서면  두 눈이 마주칠까 심장이 Bounce Bounce  두근대 들릴까봐 겁나 한참을 망설이다 용기를 내 밤새워 준비한 순애보  고백해도 될까 처음 본 순간부터 네 모습이  내 가슴 울렁이게 만들었어 Baby You're my trampoline You make me Bounce Bounce 수많은 인연과 바꾼 너인 걸 사랑이 남긴 상처들도 감싸줄게 어쩌면 우린 벌써 알고 있어 그토록 찾아 헤맨 사랑의 꿈 외롭게만 하는 걸 You make me Bounce  You make me Bounce Bounce Bounce 망설여져 나 혼자만의  감정일까 내가 잘못 생각한 거라면  어떡하지 눈물이나 별처럼 반짝이는 눈망울도 수줍어 달콤하던 네 입술도 내겐 꿈만 같은 걸 You make me Bounce 우린 벌써 알고 있어 그토록 찾아 헤맨 사랑의 꿈 외롭게만 하는 걸 어쩌면  우린 벌써 You make me  You make me
2013.05.13~05.19,10,4115610,이 나이 먹도록,바이브,Organic Sound,2013.05.15,Ballad,류재현,이 나이 먹도록 혼자라는 건 여전히 누군가 그리운 거겠지 이 나이 먹도록 외롭다는 건 꼭 돌아온다는 착각이겠지 이 나이 먹도록 기다리는 건 사랑이 아니라 집착이겠지 이 나이 먹도록 외롭다는 건 아직도 그 사람 못 잊어서겠지 세월이 갈수록 더욱 심해지는 건 여전히 아직도 니가 그리운 거겠지 시간이 갈수록 더욱 아파오는 건 너는 내 마음을 그땐 몰랐던 거야 이 나이 먹도록 사랑을 못한 건 여전히 그 사람 못 잊어서겠지 이 나이 먹도록 나 바보 같은 건 난 아직 사랑을 모르는 거겠지 이 나이 먹도록 결혼을 못한 건 여전히 누군가 기다리는 거야 이 나이 먹도록 나 후회되는 건 사랑한단 말을 못했던 거야 세월이 갈수록 더욱 심해지는 건 여전히 아직도 니가 그리운 거겠지 시간이 갈수록 더욱 아파오는 건 그대는 내 마음을 그대는 내 마음을  그대는 왜 그대는 왜 그땐 몰랐던 거야 이 나이 먹도록 널 잊지 못한 건 여전히 아직도 사랑하는 거야 이 나이 먹도록 나 기대하는 건  니가 나에게로 돌아오는 거야 니가 나에게로 돌아오는 거야
