singer_id,debut,singer_type,singer_gender,company,bthday
30,1983.08,솔로,남성,,1957.04.07
6,1979,솔로,남성,,1957.08.12
19,1969,솔로,남성,YPC프로덕션,1950.03.21
4788,1985,솔로,남성,,1948.05.30
990,1974,솔로,여성,제이뮤직컴퍼니,1963.10.28
859,1971.09,솔로,여성,,1952.08.13
23,1981,솔로,남성,R-엔터테인먼트,1954.03.26
102421,,그룹,혼성,,
32,1977,솔로,남성,락코리아,1955.02.06
100751,1983,그룹,혼성,,
812,1978,솔로,남성,,1952.05.22
751,1983.10,솔로,남성,김창완밴드,1954.02.22
1012,1978.09,솔로,여성,,1952.07.07
914,1974,솔로,남성,,1949.01.24
5023,1984.01,솔로,여성,,1963.01
2020,1982,솔로,여성,,1958.02.15
14065,,솔로,남성,,1958
448,,솔로,남성,,1954.05.20
1169,1977,솔로,남성,,1948.03.12
5570,1996,솔로,남성,,1955.01
7697,1967,솔로,여성,,1946.03.09
33,1979,솔로,여성,라이트웨이브 엔터테인먼트,1955.07.11
4826,1979,솔로,여성,,1962.04.21
29,1976,솔로,여성,,1953.03.13
40,1978,솔로,여성,,1957.03.03
102013,1981,그룹,남성,,
101012,1977.04,그룹,남성,,
966,1984,솔로,여성,후크엔터테인먼트,1964.11.11
7684,1984,솔로,여성,,1961.08.08
5722,1970,솔로,남성,,1946.07.28
101971,1983.02,그룹,혼성,,
21,1981.07,솔로,남성,,1957.04.25
1062,1973,솔로,여성,,1961.03.29
1004,1983,솔로,남성,퍼플K,1961.09.19
5761,1979,솔로,여성,,1957.10.01
13078,,솔로,여성,,1963
27,1984,솔로,남성,,1959.04.18
12,1980,솔로,남성,,1960.10.10
101013,1977.12,그룹,남성,,
5856,1980.06,솔로,남성,,1958.01.07
6179,1985,솔로,남성,,1958
46,1970,솔로,남성,,1951.04.15
41,1985.03,솔로,남성,,1960.06.03
13787,,솔로,여성,,
1173,1985,솔로,여성,,1961.09.27
101078,1979.09,그룹,남성,,
1140,1985.06,솔로,남성,코레스타미디어,1954.04.27
102311,1985,그룹,혼성,,
102864,1985,그룹,혼성,,
473,,솔로,남성,,1957.09.08
932,1985.07,솔로,여성,더라인,1965.11.22
1066,1986.09,솔로,남성,,1955.06.07
101512,1985.03,그룹,남성,,
4830,1984.01,솔로,남성,,1960.08.08
5251,1974,솔로,여성,,1956.05
100745,1985,그룹,혼성,,
101108,1985.09,그룹,남성,들국화컴퍼니,
101621,1978.03,그룹,혼성,,
1138,1983,솔로,여성,,1959.01.03
7826,1973,솔로,남성,,1952.03.27
101511,1986.01,그룹,혼성,,
9612,,솔로,남성,,1951.11.08
101022,1979.11,그룹,남성,,
43,1978,솔로,남성,KMOONfnd,1959.01.17
5148,1975.12,솔로,여성,,1956.09.23
1009,1985,솔로,남성,,1968.12.31
900,1976,솔로,남성,,1952.12.22
1166,1980.12,솔로,여성,,1962.04.18
7,1978.11,솔로,남성,디컴퍼니,1954.10.10
1036,1979,솔로,여성,,1958.08.20
16789,1985.04.10,솔로,여성,,
674,1983.10,솔로,남성,,1953.11.10
997,1977,솔로,남성,,1957.01.17
