singer_id,debut,singer_type,singer_gender,company,bthday
5136,1995.11,솔로,남성,,1972.04.18
957,1987,솔로,남성,,1962.11.10
100061,1995.10,그룹,남성,,
100198,,그룹,혼성,,
9485,1994.10,솔로,남성,,1976.02.19
100187,1995.12,그룹,남성,,
101640,,그룹,남성,,
855,1989,솔로,남성,,1965.10.24
100057,1996.05,그룹,남성,미디어라인,
100177,1996.03.10,솔로,남성,주식회사 신엔터테인먼트,
101563,1995.08,그룹,혼성,,
100141,1993,그룹,남성,,
3614,1996.09,솔로,남성,,1972.09.05
100045,1996.07,그룹,혼성,,
100042,1996,그룹,남성,,
1091,1996.08,솔로,남성,,1974.05.22
100008,1996.09,그룹,남성,,
1107,1985,솔로,남성,킴스뮤직,1966.02.01
100053,1996.10,그룹,혼성,,
100004,1994.10,그룹,혼성,쿨컴퍼니,
1123,1996.11,솔로,남성,은총에벤에셀,1979.03.27
3854,1997.11,솔로,여성,(주)RBW,1979.03.17
100142,1995.09,그룹,남성,,
6212,1994.04,솔로,남성,,1973.06.19
100043,1997.01,그룹,남성,"키스톤미디어, MOBB엔터테인먼트",
5192,1996,솔로,여성,랑엔터테인먼트,1975.08.02
5973,1996.01,솔로,남성,에스에이치기획,1969.02.27
1034,1994.06,솔로,여성,,1974.04.19
9087,,솔로,남성,,1959
1100,1993.07,솔로,여성,에이팝엔터테인먼트,1969.08.17
1083,1997.04,솔로,남성,제이블엔터테인먼트,1971.09.12
100101,1996.11,그룹,혼성,,
100019,1995,그룹,혼성,,
100052,1997.04.15,그룹,남성,(주)YG엔터테인먼트,
3897,1996.01,솔로,여성,와이드엔터테인먼트,1972.01.20
1142,1995.04,솔로,남성,(주)앤에이취이엠쥐,1973.11.30
100054,1997.03,그룹,남성,(주)YG엔터테인먼트,
101088,1998.10,그룹,남성,,
895,1994.10,솔로,남성,프로덕션 이황,1971.06.07
1008,1997.03,솔로,남성,JC그룹 인터내셔널,1976.12.15
1055,1992.12,솔로,여성,네오비즈,1966.05.19
7063,1997.04,솔로,남성,,1969
100028,1997.08,그룹,여성,,
102067,,그,,,
1164,1997.07,솔로,남성,,1971.02.02
100023,1996.11,그룹,남성,,
100130,1997.06,그룹,남성,제이제이홀릭미디어,
100170,1997.05,그룹,남성,,
11352,1998,솔로,남성,,1975.06.08
100016,1997.11,그룹,여성,(주)SM엔터테인먼트,
2924,1997,솔로,여성,,1980.07.04
100044,1996.05,그룹,여성,,
100002,1997,그룹,남성,,
1081,1991.09,솔로,남성,,1965.08.14
1099,1998.02,솔로,여성,문화인,1976.03.23
1868,1998.07,솔로,남성,서태지컴퍼니,1972.02.21
1177,1997.04.08,솔로,여성,힘엔터테인먼트,1976.04.04
100065,1998.05,그룹,여성,,
1873,1998.06,솔로,남성,소울패밀리프로덕션,1973.03.27
100035,1998,그룹,혼성,초록나라엔터테인먼트,
100010,1997.10.28,그룹,남성,,
969,1998.09,솔로,남성,품엔터테인먼트,1977.03.11
925,1998.12,솔로,남성,뮤직팜,1974
100712,1989.11,그룹,남성,,
1175,1997,솔로,남성,주식회사 아이디어뮤직엔터테인먼트코리아,1978.01.10
100094,1997.11,그룹,혼성,(주)인터파크,
100001,1998.11,그룹,남성,(주)YG엔터테인먼트,
3092,1998,솔로,여성,,1975.07.09
6017,1998.03,솔로,남성,,1971.07.22
2071,1991.01,솔로,남성,스타덤,1976.01.21
984,1998.12,솔로,여성,,1982.05.04
100007,1999.01.13,그룹,남성,아이에이치큐,
100022,1998.12,그룹,혼성,주식회사 케이와이티엔터테인먼트,
100127,1998.11,그룹,혼성,,
101714,1999,그룹,남성,,
100078,1998.03.24,그룹,남성,(주)신화컴퍼니,
908,1997.11,솔로,여성,,1977.07.28
2010,1996.10,솔로,여성,,1974.03.07
100055,1998.04,그룹,남성,,
101509,1999.07,그룹,혼성,(주)YG엔터테인먼트,
100032,1997,그룹,여성,,
1118,1999.06,솔로,여성,(주)뮤직웍스,1976.03.25
100021,1999.05,그룹,남성,,
100120,1998.09,그룹,여성,,
4044,,솔로,남성,,1964
100073,1999.09,그룹,남성,DH 엔터테인먼트,
100200,1999.09,그룹,여성,,
3895,1999.10,솔로,여성,바나나컬쳐,1980.02.07
100990,1999.10,그룹,혼성,,
1379,1991.09,솔로,남성,오드아이앤씨,1960.02.22
