time,rank,song_id,title,singers,album,date,genre,creator,lyric
1999.09.19~09.25,1,1139375,슬픈 영혼식 (For Your Soul),조성모,For Your Soul,1999.09.09,Ballad,강은경,아마 오셨을텐데   우릴 위해 축복해 줄 사람들   그냥 그렇게 믿어   우리밖에 없다고 여기면 안돼   이제 서약해야 해  일생동안 사랑하겠노라고  넌 대답 안해도 돼   내가 두 번 말하면 되니까   눈물 흘린 거니   내품에 안은 니 사진이 젖었어  왜 좋은 날에 울어 너까지이제   마지막 니 소원이었었잖아  너 가는 길에 보내 주려해  널 위한 이 반지 잃어 버리지마  손에 꼭 쥐고 가 언제가 니곁에   가게 되는날  그때 내가 너의 손에 끼울게 넌 마음 편히 먼저가   이제 가는 거니  쓸쓸한 바람소리 문득 들렸어  나 없이 먼길 혼자 갈수 있겠니  그 길에 나 데려가면 안되니  첫 눈오거나 비오는 밤엔   가끔씩 들려줘  해마다 오늘은 꼭 다녀가야해   나의 창가에 나의 꿈 속에  잠시라도 너 가는 길에  보내 주려해 널 위한 이 반지 잃어버리지마 손에 꼭 쥐고 가 언젠가 니곁에  가게 되는날 그때 내가 너의 손에 끼울게 나 늦더라도 기다려
1999.09.19~09.25,2,83816,Com` Back,젝스키스,Com` Back,1999.09,Dance,조은희,Jigging with that shake that booty   Jigging with that shake that booty   Don't stop that shake that booty   Yeah baby Don't you baby   Just make you freak your body   Come and get you freak your body   젝키 Dance 젝키 Dance   We will get the freak your body   바람속을 가르는 내 슬픈 사랑이   제발 니 곁에 영원히 잠들수 있게   oh 내게로 와 이세상 마지막 날까지   혼자 또 헤매다 쓰러져 가는 날위해   깊깊깊 깊어 갈 수록  깊 깊어 질수록   깊깊깊 깊어 갈수록   날 봐라 미쳐 돌   것만 같은 날  봐라 걷잡을 수 없는   날 봐라 널 향해  가가가겠어  터질것 같은 사랑을 느낄 수 있겠니   한번이라도 니 곁을 스쳐  갈 수 있다면   가슴 깊이 품어온 내 모든 사랑을   오직 단하나 널 위해 지켜왔는데   왜 잡을 수 도 없이 넌 멀리   있는거니   얼마나 울어야 너 내게   올수 있겠니   깊어 갈수록 깊깊어 질수록   깊어 갈수록 깊깊어 갈수록   여기 더는 멈출 수 없는   날 봐라 여기 더는 멈출 수 없는   날 봐라 널 차지하겠어   날 위해 제발 조금 더   기다려 주겠니   다른 이별로 널 두 번   다시 놓치지 않게   바람속을 가르는 내   슬픈 사랑이   제발 니 곁에 영원히   잠들수 있게   oh 내게로 와 이세상   마지막 날까지   혼자 또 헤매다 쓰러져   가는 날위해   Jigging with that shake that booty  Jigging with that shake that booty  Don't stop that shake that booty  Yeah baby Don't you baby  Just make you freak your body  Come and get you freak your body  젝키 Dance 젝키 Dance  We will get the freak your body
1999.09.19~09.25,3,1786635,Fever,조pd(ZoPD),In Stardom Version 2.0,1999.08,Rap / Hip-hop,조pd(ZoPD),여기 있는 사람들 모두 높이 손을 들어 리듬에 맞춰서 신나게 몸을 흔들어 이게 진짜 파티야 하는 생각 너도 들어 나도 진짜 죽인다 하는 생각은 들어 골아픈 소리해도 절대 난 안들어 거기있는 아가씨 나는 아주 맘에 들어 그 아가씨 진짜 이쁜가 봐라 이리봐라 나 좀 봐라면서 손을 흔들어 그렇게 씹혀도 울지마 고개를 들어 그냥 흔들면서 들어 존나 흔들어  지금은 파티중이니 끼리끼리 온사람 샘내지 말고 우리끼리 재미있게 노세 Oh shit 아이고 이제는 몸이 안따라줘 안돼 하는 후회가 들어 슬프기 전에 작작튕겨 내 말 좀 들어 젊은 우리의 함성이 세상을 흔들어 uh 좋아라 좋아라  너무나 좋아라 피라미 같은 무용단들은 떠나라 DJ 와 MC 가 만든 힙합나라 저기 귀막고 있는 너는  사요나라 uh 좋아라 좋아라  너무나 좋아라 피라미 같은 무용단들은 떠나라 DJ 와 MC 가 만든 힙합나라 저기 귀막고 있는 너는  사요나라 uh 야야야 가야 되는데 이제 가야돼 가야돼  오늘이 다가기도 전에 내일 할일 생각에 볼일 하나 볼 엄두도 없는 건 참 별일이라 말야 이랴 이랴 말 몰고 쫓듯 세월을 보내니 말야 마라톤 하듯이 바톤 넘기듯 하루하루 빠른 패턴으로 가면서도 좋든 싫든  따르란 말이렸다 하여튼 지금 내앞에서 허튼 걱정은 하지마 너무나 좆같은 기분을 떨쳐 진정 춤추고 싶은이는 춤을 춰 종일 열받쳐 있던 머리 식힐겸 춤을 춰 눈맞춰 볼만한 이 있으면 점을 쳐 이 기회를 왜 놓쳐 답답하면 크게 소리쳐 여기 시간은 조PD 시간 너의 시각과 청각은 빨간 노란 파란  현란한 틀에 쌓여 대란을 치루는 중이군야 순간이 모인거란다 인생이란 때지난 부끄럼에 밍숭밍숭 하면 뭘해 음악은 나왔는데 딴 생각하는 건 뭐래 누구도 바깥세상 골치아픈 속에 잊지마 또 잊지마  이 미래를 밝힐 노래 때지난 부끄럼에 밍숭밍숭하면 뭘해 음악은 나왔는데 딴 생각하는 건 뭐래 누구도 바깥세상 골치아픈 속에 잊지마 또 잊지마  이 미래를 밝힐 노래 좋아라 좋아라  너무나 좋아라 피라미 같은 무용단들은 떠나라 DJ 와 MC 가 만든 힙합나라 저기 귀막고 있는 너는  사요나라 uh 좋아라 좋아라  너무나 좋아라 피라미 같은 무용단들은 떠나라 DJ 와 MC 가 만든 힙합나라 저기 귀막고 있는 너는  사요나라 uh
1999.09.19~09.25,5,83471,Festival (인생은 아름다워),엄정화,005.1999.06,1999.06,Dance,주영훈,이제는 웃는 거야 Smile again  행복한 순간이야 Happy days  움츠린 어깨를 펴고 이 세상 속에  힘든 일 모두 지워버려  슬픔은 잊는거야 Never cry  뜨거운 태양 아래 Sunny days  언제나 좋은 일들만  가득하기를 바라면 돼  항상 똑같은 생활 속에 지쳐가지만  나를 누르는 힘든 일에 쓰러지지만  고개를 숙일 건 없어  그 속에 행복있는 걸 찾으면 돼  나의 주위를 둘러 봐 힘겹다 느낄 때  맑은 어린아이의 모습에  미솔 닮아 봐  이제는 웃는 거야 Smile again  행복한 순간이야 Happy days  움츠린 어깨를 펴고 이 세상 속에  힘든 일 모두 지워버려  슬픔은 잊는거야 Never cry  뜨거운 태양 아래 Sunny days  언제나 좋은 일들만  가득하기를 바라면 돼  아주 가끔은 사랑 있어 즐겁게 웃고  또 어떤 날은 사랑으로 울기도 하고  쉬운 건 하나도 없어  그 속에 기쁨 느끼면 그걸로 돼  조금 낮추어 돌아봐 삶이 무거울 때  아무 말없이 뛰고만 있는 많은 사람들 이제는 웃는 거야 Smile again 행복한 순간이야 Happy days 움츠린 어깨를 펴고 이 세상 속에 힘든 일 모두 지워버려 슬픔은 잊는거야 Never cry 뜨거운 태양 아래 Sunny days 언제나 좋은 일들만 가득하기를 바라면 돼 라라라 Smile again 라라라 Happy days 커다란 하늘처럼만 더 크게 웃고 더 크게 생각하는거야 눈물은 잊는거야 Never cry 푸르른 햇살처럼 Sunshine days 언제나 좋은 일들만 가득하기를 기도할께
1999.09.19~09.25,6,83803,A`ddio,양파,A`ddio,1999.06.26,Ballad,임보경,그대 뒤에서 항상  바라만 보네요  나의 오해가 깊어  남은건 이별뿐  처음부터 왜 내게 얘기하지  못했었나요  산다는 건 그조차 그대에겐  힘이 들었다는걸  사랑이 그대에겐 사치라고  느껴졌나요  시리도록 차가운 그대  그 눈물을 이제야 알아요  모든걸 되돌릴수 없다면  나를 용서해요  조금더 일찍 그대맘을  헤아리지 못한 나를  눈을 감아도 이젠 그대가 보여요  나의 사랑이 깊어  남은건 그리움  그대곁에 맴도는 나를  느낄수가 있나요  나마저 짐이될까 그저  망설일 뿐이예요  우리의 헤어짐이 어쩔수  없는 것이라면  이것만은 말해주어요  이별이 슬프지 않도록  그대가 날보내고 떠나가는  것이 아니라  조금더 깊이 그대 맘에 묻어  두려 했다는걸  우리의 헤어짐이 어쩔수 없는 것이라면  이것만은 말해주어요 이별이  슬프지 않도록  그대가 날보내고 떠나가는  것이 아니라  조금더 깊이 그대 맘에 묻어  두려 했다는걸
1999.09.19~09.25,7,504835,우리는 Y.G Family,YGFamily,Famillenium,1999.07.29,Rap / Hip-hop,양현석,Uh 너 이제 준비해라  Uh 너 이제 각오해라  We choming Through   With Spread  Out 1TYM Kick It off  믿기 어렵겠지만 YG Family가   다 왔다  지누와 션과 1TYM 모두가   너와 함께할  또 너의 뒤에다  모두 여덟명의 저격수가   되어 발사  준비되어 있지 Teddy  덤벼봐  Yo 백색가루에 뻗친 끝이   없는 욕심  너 모르게 죽어갔던   아비를 지켜본  어린아이 눈속에 비친  너의 개만 못한 짓이여   이제는 끝이여  자 다음 차례 여자들을 팔아  넘겨 배 채운 돼지여  남자란 힘을 잘못쓴 그대여  썩은 내 그 목구멍 속에   넘어간 인생  누가 책임질래  저 높은 곳에서 널 지켜보겠어  우리는 Y G Family Family Family  뒤집어 놓겠어 널 마주 보겠어  우리는 Y G Family Family Family  Now Did You Feel It Coming  Do You Want Anatha One N  Who Got Tha Bat JS 사는게 뭔가 뭔가 버겁다고  느꼈왔던 순간 순간  니 피붙이를 버리려고 했다 인생에 종이 땡땡 종이 땡땡 칠때까지 고아 고아 라는 이름으로 살아 남아 바라 다 지워졌나 도대체 얼마나 너를  원망하게 될까 그러면 절대 안돼 나는 반대 늙은 어머님이 자식이  부담스러워 집을 나가신지 몇달이 되어도 찾아보지 않았던 너 뻔할 뻔 어린 자식들도 너를  따라하게 될껄 저 높은 곳에서 널 지켜보겠어 우리는 Y G Family Family Family 뒤집어 놓겠어 널 마주 보겠어 우리는 Y G Family Family Family 이제 나에게 마지막 남은 총알을 줘 몇시지 더러워진 세상 속에 자식 너만은 YG가 가만 두지 않아 너의 그 주먹 사이로 오고 갔던 수많은 비명 그리고 위선 세상이 삐걱 YG Gonna Show That Stall That 모든걸 되돌려 줄께 저 높은 곳에서 널 지켜보겠어 우리는 Y G Family Family Family 뒤집어 놓겠어 널 마주 보겠어 우리는 Y G Family Family Family 지누와 승환이 대니와 백경이 테디와 진환이 페리와 양군이 우린 많은 것을 바라는게 아니지 지금의 우리는  Y G Family Family Family
1999.09.19~09.25,8,83443,헤어진 후에,Y2K,YⅡK,1999.05.01,Rock,장대성,미안해 그런 표정은 짓는게   아니었는데 어쨌든   너의 그사람 정말로 괜찮았었어   많이 고민했었어 그자릴   지켜야 하는지   이제 너와난 끝난 사이니까   왜 나를 나오라했니 겨우 조금은   너를 지운거라 생각했었는데   이렇게 날 힘들게   해야했니 친구로   지내잔 마지막 말론 너의 기분을   채울수는 없니 그만큼   나로인해 힘들다면   사과할게 정말 너무나 미안해   이젠 너의사람을 위해서   영원히 나를 기억에   지워줘 너만 행복할수있다면   많이 고민했었어 그자릴   지켜야 하는지   이제 너와난 끝난 사이니까   왜 나를 나오라했니 겨우 조금은   너를 지운거라 생각했었는데   이렇게 날 힘들게 해야했니   친구로 지내잔   마지막 말론 너의 기분을   채울수는 없니 그만큼   나로인해 힘들다면   사과할게 정말 너무나 미안해   이젠 너의사랑을 위해서 영원히   나를 기억에   지워줘 너만 행복할수있다면   다신 나를 만나려 하지마 혹시   우릴 오해할지   모르니 단지 그사람을 위해   모든걸 생각해줘 나는  정말로 괜찮아  우리 사랑했었던 기억도  이젠 너를위해 모두 지울게  너만 행복할수 있다면
1999.09.19~09.25,9,83671,Tears,위종수,To Me,1999.07.27,Ballad,,
1999.09.19~09.25,10,84781,아이야! (I yah!),H.O.T.,I yah!,1999.09,Dance,유영진,아이야 니가 속한 세상에 넌   너무너무나도 아름다운 세상   속에 넌 그렇게   모든것을 아름답게만 보는것만   배웠지 않니   추한것들은 가리라고 배웠지   난 그렇게 그렇게 난 그렇게   살고 싶지 않아   정말 난 그렇게 그런   무책임한 말들로   너무나 너무나 너무나 너무나   오래오래동안 버려져 왔던   날들날들   저리가 저리가 모조리가 모조리가   제발 가치없는 말로 유린하지마   Do you say it One for the Kid   two for the all   그래 우리가 만든 헌장대로   지켜진게 뭐가 있는가   없다 없다  그들은 소외당하고 무시당하고   보호받지도 못하고   타고난 권리조차 지켜주지 못했고   그래 언제까지 이 따위로 살텐가 피우지도 못한 아이들의  불꽃을 꺼버리게  누가 허락했는가 언제까지  돌이킬 수 없는 잘못을  반복하고 살텐가  yeah 누구나가 다 평등하게  살아갈 때  모두 다 자기것만 찾지 않을 때  어떤 것이 무엇이 제일  소중한지 깨달을 때  그때 밝은 내일이 살아 돌아온다  Wow 멀어멀어 가야할 길이  Show shock turn your neigh borhood block  into the battle field  이제 새 천년이 다가온다 no lie  우린 필요에 따라 복제 되어 버릴지도 모르지  yo Clon yourself echeew  and i'm gonn' catch you  ain't no turnin' back you  won't be  burnin' my kids Put'em up  some dirty cash  and a get tripher  But I'm a Lifer a camouflage  cypher  from the roof top I might  snipe ya  피우지도 못한 아이들의 불꽃을  꺼버리게 누가 허락했는가  언제까지 돌이킬 수 없는  잘못을 반복하고 살텐가  시간에 숨겨버린 진실의  날을 찾기 위해  가진 모든 것을 버렸어  끝까지 나에게 남아있는  또다른 미래를 찾겠어  What ya boys need I got  about the P down  straight about the p  down make everybody  get down  say you around prays  ways in a  days days ain't that failt  in them  all with embrace hates  언젠가는 모든 것이 사라진대도  이겨낼 수 있게 도와줘야해  우리에게 남은 것이 사랑이라면  아낌없이 줘야해  아이야 아이야 아이야 아이야  우리들이 추구하는 모든 것들  언제나 그 안에 욕심은 없는지  지켜내야해 다음 세기가 올때까지
1999.09.19~09.25,11,83326,Gimme! Gimme!,컨츄리꼬꼬,Color Of Chameleon,1999.06.14,Dance,최수정,사랑이 듬뿍담긴 편지를 받았어  편지와 함께 한아름 꽃도 받았어  꽃다발 속에 담긴 너의   그 마음이 정말 좋았어 sexy  oh 너를 기다리다가 그냥  돌아왔어  돌아오는 그 길이 너무 외로웠어  밤하늘에 뜬별이 내가슴에  떨어지네  사랑이라고 말해  언제나 나를 사랑한다고   달려와 내가슴에 안겨줄  너를 기다리는 나에게로  oh Gimme Gimme Gimme   Gimme Gimme Gimme  사랑을 Tell me Tell me Tell me  Tell me Tell me Tell me  나에게 깊이 깊이 깊이 깊이   깊이 깊이  남겨둘 사랑을 찾아서   날 떠나간  희미해진 기억속에 니가   남긴 사랑을  향기로운 그입술에 잊지못할  추억은 다시 돌아올거야  내가슴의 운명처럼  이제 너도 내게 날   돌아와 달라는 사실을  나 너무 외로워 지금   나 너만 있으면 되는데  기회는 지금 있어 지겨워 하지마  나도 지금 너처럼 지 쳐 가  순정을 다 바쳐서 너를   사랑했어  뜨거운 그 날 밤도 우리   시를 썼고  그렇게 아름다운 여자는 세상에   처음이었어kiss me  그후로 오랬동안 너무 행복했고  사랑의 장난으로 우린 헤어졌지  나의 눈에 눈물이 가슴속에   떨어지네  사랑이라고 말해  언제나 나를 사랑한다고   달려와 내가슴에 안겨줄  너를 기다리는 나에게로  oh Gimme Gimme Gimme   Gimme Gimme Gimme  사랑을 Tell me Tell me Tell me  Tell me Tell me Tell me  나에게 깊이 깊이 깊이 깊이   깊이 깊이  남겨둘 사랑을 찾아서   날 떠나간  희미해진 기억속에 니가   남긴 사랑을  향기로운 그입술에 잊지못할  추억은 다시 돌아올거야  내가슴의 운명처럼  Make me a baby  Make me be   you alright girl   I just like the way   You are sexy baby  Want make you grow oh tonight girl  내사랑을 그대에게 원 투 쓰리  oh Gimme Gimme Gimme  Gimme Gimme Gimme 사랑을 Tell me Tell me Tell  me Tell me Tell me Tell me 나에게 깊이 깊이 깊이  깊이 깊이 깊이 남겨둘 사랑을 찾아서  날 떠나간 희미해진 기억속에 니가  남긴 사랑을 향기로운 그입술에 잊지못할 추억은 다시 돌아올거야  내가슴의 운명처럼
