time,rank,song_id,title,singers,album,date,genre,creator,lyric
1998.08.02~08.08,1,38547,그녀와의 이별,김현정,Legend,1997.03,Dance,유유진,이제 우리 정말 끝난거야  니가 다시 확인시켜줬지  그럴 필요까진 없었는데  마지막 자존심까지 무너졌어  나를 만나기전 헤어졌던  예전의 그녀에게서  너를 떠나달란 말을 듣게 했어  미안하단 말과 함께  믿지 않았어 그녀의  일방적인 얘기들  나를 속이며 그동안  만나왔단 얘기도  너를 사랑한 그녀의  거짓말이었기를  비참하게 난 끝까지  어리석게 널 믿어 버렸어  하지만 나의 마지막 기대마저도  모두 무너진 거야 술취해  또 다시 너를 찾아가  그녈 안아주는 너를 보았어  지금 내눈에 흐른 눈물은  너도 모른척 해줘  남겨진 미련도 없지만 모두  니가 가져 버려  며칠이 지났어 널 잊은줄 알았어  그런데 지금 니가 돌아오길   바라는 내가 미울뿐야 믿지 않았어 그녀의  일방적인 얘기들  나를 속이며 그동안  만나왔단 얘기도  너를 사랑한 그녀의  거짓말이었기를  비참하게 난 끝까지  어리석게 널 믿어 버렸어  하지만 나의 마지막 기대마저도  모두 무너진 거야 술취해  또 다시 너를 찾아가  그녈 안아주는 너를 보았어  지금 내눈에 흐른 눈물은  너도 모른척 해줘  남겨진 미련도 없지만 모두  니가 가져 버려  며칠이 지났어 널 잊은줄 알았어  그런데 지금 니가 돌아오길   바라는 내가 미울뿐야
1998.08.02~08.08,2,38388,착한 사랑,김민종,애 (愛),1998,Ballad,김민종,믿어지지 아니 믿을 수 없는 지금 이 순간을 기억해야 하나 사랑하고 있는 그대가  내 곁에서 떠나는 모습을 미안해서 내게 아무 말 없이 나를 버린거라 생각하고 나니 이해할 수 있어 그대를  사랑하니까 내 사랑이니까 울고있는 나는 내게 말했지 편안하게 지내야 한다고 나를 떠난 그대가 행복 할 수 있도록 어려워도 그래야 한다고 그대여 난 오늘도 너무 괴로워 하는 나를 달래보고 있지만 더 이상 견딜 수 없는 아픔에 살아 가는게 너무 힘들지만 하지만 사랑해요 난 그댈 울고있는 나는 내게 말했지 편안하게 지내야 한다고 나를 떠난 그대가 행복 할 수 있도록 어려워도 그래야 한다고 그대여 난 오늘도 너무 괴로워 하는 나를 달래보고 있지만 더 이상 견딜 수 없는 아픔에 살아 가는게 너무 힘들지만 하지만 사랑해요 난  그대여 난 오늘도 너무 괴로워 하는 나를 달래보고 있지만 더 이상 견딜 수 없는 아픔에 살아 가는게 너무 힘들지만 하지만 사랑해요 난 그댈
1998.08.02~08.08,3,79372,Take Five,서태지,Seo Tai Ji,1998.07.07,Rock,서태지,내겐 좋은 사람이 많다고 생각해  쉽지 않은건 같은 자리에 있었어  맘속 가득한 진실을 느끼고  더욱 강하게 네안에서 난 믿음을 찾았어  난 이내 소중함을 알았어  할 수 있는 마음 변치않은 모습  그렇게도 난 큰 빛을 얻었어  절망할순 없는 구속받지 않을 삶이라는 것  행복한 너의 모습    빛이라는 건 일어서는 널 가까이 있게    내가 너를 만난건 행운이었어  이젠 너를 통해서 내가 살아가고 있어  맘속 가득한 행복을 느끼고 항상 새롭게  내가 못다한 꿈을 이룬다면 그건 또 다른 나란걸  할 수 있는 마음 변치않는 모습  그렇게도 난 큰 빛을 얻었어  절망할순 없는 구속받지 않을 삶이라는 것  행복한 너의 모습  이 넓은 세상을 느끼는 강한 네 모습    빛이라는 건 일어서는 널 가까이있게
1998.08.02~08.08,4,38698,나의 사랑 천상(天上)에서도,김경호,Kyung-Ho Kim 03,1998,Rock,이경,그런 일들은 없을 테지만 만약에 우리들이 떨어져 이 세상을 살아야 할 때 그 때 누군가가 너를 비웃어도 또 어떤 힘든 일이 생겨도 운다거나 마음 상해서 죽고 싶어질 때 나를 생각해 내 뜻으로 할 수 없는 건 사는 것 때론 죽는다는 걸 그 어디에 있든지 우리 약속해 저 하늘이 나를 사랑해 어느 날 먼저 데려간대도 아름다운 세상 고운 너의 두 눈으로 내 몫까지 보아줘 저 하늘이 너를 사랑해 어느 날 너를 데려간다면 가슴속에 너의 사랑을 품고서 우리 사랑 키울게 천상으로 내가 곁에 없다고 너무 슬퍼하지마 우린 살아 있잖아  어느 곳에 있든지 우린 함께 숨을 쉬어 저 하늘이 나를 사랑해 어느 날 먼저 데려간대도 아름다운 세상 고운 너의 두 눈으로 내 몫까지 보아줘 저 하늘이 너를 사랑해 어느 날 너를 데려간다면 가슴 속에 너의 사랑을 품고서 우리 사랑 키울게 저 하늘이 나를 사랑해 어느 날 먼저 데려간대도 아름다운 세상 고운 너의 두 눈으로
1998.08.02~08.08,5,33590,일상으로의 초대 (Radio Mix),신해철,Crom‘s Techno Works,1998.06.01,Rock,신해철,산책을 하고 차를 마시고 책을 보고 생각에 잠길 때 요즘엔 뭔가 텅 빈 것 같아 지금의 난 누군가 필요한 것 같아 친굴 만나고 전화를 하고 밤새도록 깨어있을 때도 문득 자꾸만 네가 생각나 모든 시간 모든 곳에서 난 널 느껴 내게로 와 줘 내 생활 속으로 너와 같이 함께라면 모든게 새로울거야 매일 똑같은 일상이지만 너와 같이 함께라면 모든게 달라질거야 서로에 대해 거의 모든 걸 지켜보며 알게 된다는게 말처럼 그리 쉽지 않겠지 그렇지만 난 준비가 된 것 같아 너의 대답을 나 기다려도 되겠니 난 내가 말할 때 귀 기울이는 너의 표정이 좋아 내 말이라면 어떤 거짓 허풍도 믿을 것 같은 그런 진지한 얼굴 네가 날 볼 때마다 난 내 안에서 설명할 수 없는 기운이 느껴져 네가 날 믿는 동안엔 어떤 일도 해낼 수 있을 것 같은 기분이야 이런 날 이해하겠니 내게로 와 줘 내게로 와 줘 내 생활 속으로 너와 같이 함께라면 모든게 새로울거야 매일 똑같은 일상이지만 너와 같이 함께라면 모든게 달라질거야 I'm spending whole my days for you Cause I am always thinking about you I really like to share my life with you I truely want to be someone for you So It is an invitaion to you Now I am waiting for the answer from you I swear I will do anything for you But sadly I've got nothing to give you All I can do is just say I love you 해가 저물면 둘이 나란히 지친 몸을 서로에 기대며 그 날의 일과 주변 일들을 얘기하다 조용히 잠들고 싶어
1998.08.02~08.08,6,1839686,믿음,이소라,슬픔과 분노에 관한,1998.05.01,Ballad,이소라,힘든가요 내가 짐이 됐나요 마음을 보여줘요 안된대도 아무 상관없어요 내 마음만 알아줘요 다른 사람 친한 그댈 미워하는 나의 사랑이 모자랐나요 늘 생각해요 이것만 기억해요 우리가 헤어지면 다시는 이런 사랑 또 없을테니 내게 힘이 돼 줘요 난 기다려요 그대 난 영원해요 우는 내가 많이 지겨웠나요 그래요 이해해요 많은 밤이 지난 그대 후회되면 다시 내게로 돌아올테
1998.08.02~08.08,7,38003,널 위해 준비된 사랑,김조한,Kim Jo Han,1998.06.01,R&B; / Soul,김수지,오늘을 꿈꿔왔지 우리 하나가 되는 날을 벅찬 기쁨 속에 난 너의 손을 잡고 있어 수줍게 고개숙인 미소로 나를 바라보는 새하얀 네 모습 너무나도 아름다워 기다렸던 나를 위해 이 땅에 보내어진 또 다른 나일 그대를 처음 본 그 순간 내 영혼의 깊은 샘 속에서 사랑을 만난거야 알 수 있었지 나만의 사랑인걸 아낄게 너만을 이 세상 그 누구보다 아름답고 행복하게 지킬게 사랑해 영원히 이 세상 단 하나뿐인 널 내 전부라 말하고 싶어 기다렸던 나를 위해 이 땅에 보내어진 또 다른 나일 그대를 처음 본 그 순간 내 영혼의 깊은 샘 속에서 사랑을 만난거야 알 수 있었지 나만의 사랑인걸 아낄게 너만을 이 세상 그 누구보다 아름답고 행복하게 지킬게 사랑해 영원히 이 세상 단 하나뿐인 널 내 전부라 말하고 싶어 나 또한 널 위해 보내어진 널 위해 준비된 사랑 아낄게 너만을 이 세상 그 누구보다 아름답고 행복하게 지킬게 사랑해 사랑해 영원히 영원히 이 세상 단 하나뿐인 널 내 전부라 말하고 싶어 널 위해 준비된 사랑
1998.08.02~08.08,8,33268,Blue Rain,핑클,Fine Killing Liberty : Blue Rain,1998.05,Ballad,이승호,어딜 가면 볼 수 있는지  알고 있어도 나 갈 수 없는 건  아마 몰라보게 수척해진  내 모습보고  놀란 가슴으로 걱정할까봐  날 두고 떠나갈때 마지막  내게 했던  그대 기억으로 울지 말라는 약속  지킬 수 없을까봐  니 맘에 없던 그 모진 말도  조금도 그댈 지울 수 없는 걸  난 알고 있어 언제나 그대  내 곁에 와 잠드는 걸  비가 오던 어느날 밤에  그댄 싸늘하게 젖어 있었지  이 밤 지나면 날 못 볼것만  같은 생각에  지친 몸으로 날 기다린거야  더 이상 우산속에 날 그냥  둘 수 없어  흘러내린 눈물 빗 속에 감춰두고  그대 품에 안겼지  빗소리에 감추려 하는  그대의 울먹임을 알고 있어  내 어깨위엔 저 비가 아닌  그대의 눈물인 것도  한번만 더 그대의 품에 안겨  맘껏 울 수 있다면  그대 잠든 곳에 언제나 찾아가서  끝없는 얘기 할텐데  니 맘에 없던 그 모진 말도  조금도 그댈 지울 수 없는 걸  난 알고 있어 언제나 그대  내 곁에 와 잠드는 걸  우산 속에 내리는 비는  멈추지 않을거야
1998.08.02~08.08,9,1877126,사랑을 위하여,김종환,사랑을 위하여,1997.06.13,Adult Contemporary,김종환,이른 아침에 잠에서 깨어 너를 바라볼 수 있다면 물안개 피는 강가에 서서 작은 미소로 너를 부르리 하루를 살아도 행복할 수 있다면 나는 그 길을 택하고 싶다 세상이 우리를 힘들게 하여도 우리들은 변하지 않아 너를 사랑하기에 저 하늘 끝에 마지막 남은 진실 하나로 오래 두어도 진정 변하지 않는 사랑으로 남게 해주오 내가 아플 때보다 네가 아파할 때가 내 가슴을 철들게 했고 너의 사랑 앞에 나는 옷을 벗었다 거짓의 옷을 벗어버렸다 너를 사랑하기에 저 하늘 끝에 마지막 남은 진실하나로 오래 두어도 진정 변하지 않는 사랑으로 남게 해주오 너를 사랑하기에 저 하늘 끝에 마지막 남은 진실 하나로 오래 두어도 진정 변하지 않는 사랑으로 남게 해주오 사랑으로 남게 해주오
1998.08.02~08.08,10,78630,내가 기다린 사랑,유승준,For Sale,1998.05.01,Dance,이승호,니가 미웠어 날 몰라주는 너또 말도 못해 안달하는 나도 미웠어 난 언제나 널 보면 가슴 시린 설레임 뿐인데 너는 그렇지가 않았어 야속했었어 세상에서 가장 이쁜 널 다 가지고 싶었어 난 그렇게 널 보며 매일매일 가슴만 졸이는 짝 사랑 되어 버렸어 정말 궁금해 날 보는 너의 마음이 그냥 친구처럼 편하게만 느끼는 걸까 너의 눈빛만 보아도 떨리는 나를 이제 더 이상은 감출 수 없어 이런 내맘 알게 된다면 오히려 부담되어 멀어질까 걱정만 앞서 조금만 더 기달려 볼까 너 먼저 사랑으로 다가오기를 하지만 겁이나 힘겨운 기다림 속에 다른 누군가가 너의 사랑 되버릴까봐 너를 영원히 내 곁에 두고 싶지만 사랑 뒤에 이별 그게 두려워 결국 하늘도 무심하지 날 버려 둔 채 넌 다른 남잘 만나 사랑을 했어 그때 널 잊고 돌아서야 했는데 그럴 용기도 없었던 거야 그랬던거야 넌 잔인하게 너의 사랑 얘기를 나에 들려 준거야 널 웃게 했던 사랑 날 울게 했던 이별 난 그걸 모두 참으며 나를 지켰어 너의 몇 번의 이별을 바라 보면서 아직 내 사랑은 모질게도 잘 견뎌왔어 말도 못 한채 상처만 키워 오면서 끝내 너의 자린 비워 둔거야 그 언젠가 비 내리던 밤 넌 내게 찾아 와서 또 이별에 눈물 흘렸지 내 품에서 약속을 했지 나만은 널 버리고 가지 말라고 누구도 다시는 사랑을 하지 못하게 너의 사랑 내게 맡겨 두면 어떻겠냐고 너무 길어진 기다림 후회는 없어 이젠 이별이란 없을 테니까 걱정마 약속해 행복한 사랑 보다는 이별 없는 사랑 그것만은 지킬 테니까 내게 기대봐 화려한 사랑보다는 친구 처럼 편한 휴식을 줄게 왜 그랬는지 왜 기다렸는지 누가 봐도 비난하고 원망 할거야 왜 처음부터 나만의 너를 만들지를 못했냐고 나역시 후회 하지만 그랬었나봐 내가 원한 사랑이란 그때의 니 모습이 아니었나봐 내 한결같은 사랑 네 변치 않을 영혼 니 존재로만 살기를 바랬었나봐
