time,rank,song_id,title,singers,album,date,genre,creator,lyric
1995.03.12~03.18,1,62462,잘못된 만남,김건모,김건모 3집 - 잘못된 만남,1995,Dance,김창환,난 너를 믿었던 만큼  난 내 친구도 믿었기에 난 아무런 부담없이 널  내 친구에게 소개 시켜줬고 그런 만남이 있은 후로 부터  우리는 자주 함께 만나며 즐거운 시간을 보내며  함께 어울렸던 것뿐인데 그런 만남이 어디부터  잘못됐는지 난 알 수 없는 예감에  조금씩 빠져들고 있을때쯤 넌 나보다  내 친구에게 관심을 더 보이며 날 조금씩 멀리하던 그 어느날 너와 내가 심하게 다툰  그날 이후로 너와 내 친구는 연락도 없고  날 피하는 것같아 그제서야 난 느낀거야  모든것이 잘못돼 있는걸 너와 내 친구는  어느새 다정한 연인이 돼있었지 있을 수 없는 일이라며  난 울었어 내 사랑과 우정을 모두  버려야 했기에 또다른 내 친구는 내 어깰  두드리며 잊어버리라 했지만 잊지  못할것 같아 너를 사랑했던 것만큼  난 내 친구도 믿었기에 난 자연스럽게 너와 함께  어울렸던 것뿐인데 어디부터 우리의  믿음이 깨지기 시작했는지 난 알지도 못한채 어색함을  느끼면서 그렇게 함께 만나온  시간이 길어지면 질수록 넌 내게서  조금씩 멀어지는 것을 느끼며 난 예감을 했었지 넌 나보다 내 친구에게 관심이 더 있었다는 걸 그 어느날 너와 내가 심하게 다툰  그날 이후로 너와 내 친구는  연락도 없고 날 피하는 것같아 그제서야 난 느낀거야  모든것이 잘못돼 있는걸 너와 내 친구는  어느새 다정한 연인이 돼있었지 있을 수 없는 일이라며  난 울었어 내 사랑과 우정을 모두 버려야 했기에 또다른 내 친구는 내 어깰  두드리며 잊어버리라 했지만 잊지  못할것 같아
1995.03.12~03.18,2,91487,날 떠나지마,박진영,Blue City,1994.09,Dance,"서윤정,박진영",멀어지는 너의 모습은 나의 눈물속에서 점점 더 번져가고 작아지는 널 느낄 수록 내마음속에서 넌 커져가고 하지만 난 괜찮아 내사랑이 떠나는 널 다시 내게 돌려줄걸 난 알아 난알아 날 떠나지마 가는 널 볼수가 없어 넌 떠나지만 난 뒷모습만 보며 서있어 다시 한번 말하지만 제발 날 떠나지마 내 사랑이 너의 오는 길을 비춰줄거야 oh baby 희미해진 너를 보면서 나의 그리움들은 커져가고 하지만 난 괜찮아 내 사랑이 떠나는 널 다시 내게 돌려줄걸 난 알아 난 알아 날 떠나지마 가는 널 볼수가 없어 넌 떠나지만 난 뒷모습만 보며 서있어 다시 한번 말하지만 제발 날 떠나지마 내 사랑이 너의 오는 길을 비춰줄거야 날 떠나지마 가는 널 볼수가 없어 넌 떠나지만 난 뒷모습만 보며 서있어 다시 한번 말하지만 제발 날 떠나지마 내 사랑이 너의 오는 길을 비춰줄거야 oh baby
1995.03.12~03.18,3,62098,슬픈 인연,015B,015B Big 5,1994,Ballad,정석원,멀어져 가는 저 뒷모습을  바라보면서  난 아직도 이 순간을 이별이라  하지 않겠네  달콤했었지 그 수많았던  추억 속에서  흠뻑 젖은 두 마음을 우린  어떻게 잊을까  아 다시 올거야  너는 외로움을 견딜수 없어  아 나의 곁으로 다시 돌아올거야  그러나 그 시절에 너를 또 만나서  사랑할 수 있을까  흐르는 그 세월에 나는 또 얼마나  많은 눈물을 흘리려나  아 다시 올거야 너는 외로움을  견딜수 없어  아 나의 곁으로 다시 돌아올거야  그러나 그 시절에 너를 또 만나서  사랑할 수 있을까  흐르는 그 세월에 나는 또 얼마나  많은 눈물을 흘리려나
1995.03.12~03.18,4,1698066,영원한 사랑 (With London Metropolitan Orchestra),이문세,Old And New,2002.02.09,Ballad,이영훈,너를 아직 생각해 구름 걷힌 저 하늘 가득히 푸르던 날 우리 지난 추억은 언제나 나를 기쁘게 하네 맺지 못한 슬픔은 나를 비웃지 운명이라고 그렇게도 사랑했던 기억은 언제나 나를 지켜주는데 내가 갈 수 없기에 그대 멀리서 나를 지켜봐 줘 이 세상 힘들 때면 그대의 한숨 어린 바람을 내가 느끼게 해 우린 다시 만나요 슬픈 약속을 모두 기억해 영원히 흘러간 사랑이여 자랑스럽게 너를 기억해  내가 갈 수 없기에 그대 멀리서 나를 지켜봐 줘 이 세상 힘들 때면 그대의 한숨 어린 바람을 내가 느끼게 해 우린 다시 만나요 슬픈 약속을 모두 기억해 영원히 흘러간 사랑이여 자랑스럽게 너를 기억해
1995.03.12~03.18,5,61240,내게로,장혜진,Before The Party,1994.11.01,Ballad,박창학,너무 서두르지마  견디기 힘이들때면 애써 따라오려 하지말고 오히려 더 천천히 그래 그렇게 다가와  내가 여기에서 기다릴게 숨이 찰땐 걸어오렴 힘이들 때 그랬던 것처럼 앞으로도 우린 아주 먼길을 가야만 해  서두르지마  함께 걸어가는 것  그것이 내겐 소중해  조금 늦는것쯤 상관없어  내가 지쳐있을 때 네가 기다려준 것처럼  내가 여기있어 힘을 내 봐 숨이 찰땐 걸어오렴  힘이 들때 그랬던 것처럼 앞으로도 우린 아주 먼길을 가야만 해  서두르지마  걱정마 기다리고 있어  이젠 멀지않아 조금만 더 힘을 내  내가 너의 두팔을 잡아줄 수 있도록  숨이찰 땐 걸어오렴 힘이들 때 그랬던 것처럼 앞으로도 우린 아주 먼길을 가야만 해  서두르지마  숨이찰 땐 걸어오렴 힘이들 때 그랬던 것처럼 앞으로도 우린 아주 먼길을 가야만 해  서두르지마
1995.03.12~03.18,6,171315,Main Title,최경식,모래시계 OST,1998,Drama,최경식,
1995.03.12~03.18,7,104941,끝난 건가요,김현철,네온속으로 노을지다 OST,1994.11.20,Korean Movie,김현철,한참 그대는 내게서 멀리 있군요 이제 우리는 끝난 건가요 더이상 없나요 우리둘은 맨 처음 사랑을 말한 걸 기억하나요 이제 우리는 이게 단가요 여기서 멎나요 우리둘은 힘들게 지내온 시간들이 난 아직도 시작인 것 같은데 아무도 이해할 순 없나요 그대여 내게 대답해줘요 정말 끝난 건가요 우리 우린 늘 같은 데 있어 지루했나요 이젠 우리는 그만인가요 여기서 됐나요 우리둘은 힘들게 지내온 시간들이 난 아직도 시작인 것 같은데 이런 나를 아무도 이해할 순 없나요 그대여 내게 대답해줘요 정말 끝난 건가요 우리 힘들게 지내온 시간들이 난 아직도 시작인 것 같은데 아무도 이해할 순 없겠죠 그대여 내게 대답해줘요 끝난 건가요 워 끝난 건가요 우린
1995.03.12~03.18,8,60807,이유같지 않은 이유,박미경,이유같지 않은 이유,1994.10.14,Dance,김창환,아무것도 필요없어 니가 나를 떠나려한다면  나를 사랑했단 말도 모두 연극처럼 느낄뿐야  마음이 변했다면 이유를 대지마~~예  내가 싫어진걸 난 알고있어  가식적인 말로 나를 위로하려고 하지마  이젠 기대하지않아  너의곁엔 다른 얼굴 다른모습 뿐야  다시는 나도 돌아가지 않아 너를위해 더이상 난  슬퍼지긴 싫어  무슨말을 하는거야 나는 너를 이해할수 없어  이유같지 않은 이유로 나를 설득하려고하지마  이젠 내맘속엔 너의 자린 없어...~~예  모두 버린거야 지금까지  내게 남겨진 슬픈 사랑의 모든 기억들  이젠 기대하지않아 너의곁엔 다른얼굴 다른모습뿐야  다시는 나도 돌아가지 않아 너를 위해 더이상 난  슬퍼지긴 싫어   이젠 기대하지않아  너의곁엔 다른얼굴 다른 모습뿐야  다시는 나도 돌아가지않아  너를 위해 더이상 난 슬퍼지긴싫어   이젠 기대하지않아  너의곁엔 다른얼굴 다른 모습뿐야  다시는 나도 돌아가지않아 너를 위해 더이상 난 슬퍼지긴싫어  빠밤~~~~
1995.03.12~03.18,9,58937,그 후로 오랫동안,신승훈,그 후로 오랫동안...,1994.09.01,Ballad,신승훈,우연인지 몰라도 네가 눈물 흘릴 때마다 하늘에선 비가 내렸어 익숙해져버린 난 그냥 너의 슬픈 눈을 보면서 차가운 한마디 울지마 하지만 이제 나도 그때처럼 비가 내리면 눈물을 흘리고 있어 내게 너무나도 소중한 네가 내 곁에 없다는 이유로 난 비와 함께 울고 있었던 거야 그 후로 오랫동안 비가 왔어 내리는 비만큼 나도 울었어 하지만 더 견딜 수가 없는 건 어디선가 너도 나처럼 울고 있다는 생각에 하늘이여 나를 도와줘 그렇게 울고 있지 말고 내 님이 있는 곳 너는 쉽게 알 수 있잖아 내가 살아있는 동안에 한번만이라도 그대를 우연일지라도 너를 믿을게 너의 눈물 맞으며  그 후로 오랫동안 비가 왔어 내리는 비만큼 나도 울었어 하지만 더 견딜 수가 없는 건 어디선가 너도 나처럼 울고 있다는 생각에 하늘이여 나를 도와줘 그렇게 울고 있지 말고 내 님이 있는 곳 너는 쉽게 알 수 있잖아 내가 살아있는 동안에 한번만이라도 그대를 우연일지라도 너를 믿을게 너의 눈물 맞으며
1995.03.12~03.18,10,1622501,사랑을 할꺼야,녹색지대,사랑을 할거야,1994.01.01,Ballad,이성환,이젠 나도 널 잊겠어  너무 힘이 들잖아 원하는 대로 해줄 순 있지만 난 더 이상 해줄게 없어 그런 나를 욕하지마 후회 할지도 몰라 철없는 생각 시간이 흐르면 그땐 이미 늦은걸 모든 것을 주는 그런  사랑을 해봐 받으려고만 하는 그런  사랑말고 너도 알고 있잖아 끝이 없는 걸 서로  참아야만 하는 걸 사랑을 할거야 사랑을 할거야 아무도 모르게 너만을 위하여 나를 지켜봐줘 나를 지켜봐줘 아무도 모르는 사랑을 모든 것을 주는 그런  사랑을 해봐 받으려고만 하는 그런 사랑말고 너도 알고 있잖아 끝이 없는 걸 서로 참아야만  하는 걸 사랑을 할거야 사랑을 할거야 아무도 모르게 너만을 위하여 나를 지켜봐줘 나를 지켜봐줘 아무도 모르는 사랑을 사랑을 할거야 사랑을 할거야 아무도 모르게 너만을 위하여 나를 지켜봐줘 나를 지켜봐줘 아무도 모르는 사랑을
